index,NationalPokedexNumber,Label,Species,Variant,Generation,Rarity,Type1,Type2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed,image_url,Vgc2022Rules,MonthlyUsageMarch2022,UsagePercentMarch2022,MonthlyRankMarch2022,id
0,1,Bulbasaur,Bulbasaur,,1,Common,Grass,Poison,318.0,45.0,49.0,49.0,65.0,65.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,Permitted,,,,Bulbasaur
1,2,Ivysaur,Ivysaur,,1,Common,Grass,Poison,405.0,60.0,62.0,63.0,80.0,80.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,Permitted,,,,Ivysaur
2,3,Venusaur,Venusaur,,1,Common,Grass,Poison,525.0,80.0,82.0,83.0,100.0,100.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,Permitted,204,7,24,Venusaur
3,3,Mega Venusaur,Venusaur,Mega,6,Common,Grass,Poison,625.0,80.0,100.0,123.0,122.0,120.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,Banned,,,,Mega Venusaur
4,3,Venusaur Gigantamax,Venusaur,Gigantamax,8,,Grass,Poison,,,,,,,,https://archives.bulbagarden.net/media/upload/d/dc/003GiMS8.png,Gigantamax Allowed,,,,Venusaur Gigantamax
5,4,Charmander,Charmander,,1,Common,Fire,,309.0,39.0,52.0,43.0,60.0,50.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,Permitted,,,,Charmander
6,5,Charmeleon,Charmeleon,,1,Common,Fire,,405.0,58.0,64.0,58.0,80.0,65.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,Permitted,,,,Charmeleon
7,6,Mega Charizard Y,Charizard,Mega  Y,6,Common,Fire,Flying,634.0,78.0,104.0,78.0,159.0,115.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,Banned,,,,Mega Charizard Y
8,6,Charizard Gigantamax,Charizard,Gigantamax,8,,Fire,Flying,,,,,,,,https://archives.bulbagarden.net/media/upload/c/cb/006GiMS8.png,Gigantamax Allowed,,,,Charizard Gigantamax
9,6,Mega Charizard X,Charizard,Mega  X,6,Common,Fire,Dragon,634.0,78.0,130.0,111.0,130.0,85.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,Banned,,,,Mega Charizard X
10,6,Charizard,Charizard,,1,Common,Fire,Flying,534.0,78.0,84.0,78.0,109.0,85.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,Permitted,344,19,12,Charizard
11,7,Squirtle,Squirtle,,1,Common,Water,,314.0,44.0,48.0,65.0,50.0,64.0,43.0,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,Permitted,,,,Squirtle
12,8,Wartortle,Wartortle,,1,Common,Water,,405.0,59.0,63.0,80.0,65.0,80.0,58.0,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,Permitted,,,,Wartortle
13,9,Blastoise Gigantamax,Blastoise,Gigantamax,8,,Water,,,,,,,,,https://archives.bulbagarden.net/media/upload/4/43/009GiMS8.png,Gigantamax Allowed,,,,Blastoise Gigantamax
14,9,Blastoise,Blastoise,,1,Common,Water,,530.0,79.0,83.0,100.0,85.0,105.0,78.0,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,Permitted,98,7,23,Blastoise
15,9,Mega Blastoise,Blastoise,Mega,6,Common,Water,,630.0,79.0,103.0,120.0,135.0,115.0,78.0,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,Banned,,,,Mega Blastoise
16,10,Caterpie,Caterpie,,1,Common,Bug,,195.0,45.0,30.0,35.0,20.0,20.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,Permitted,,,,Caterpie
17,11,Metapod,Metapod,,1,Common,Bug,,205.0,50.0,20.0,55.0,25.0,25.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,Permitted,,,,Metapod
18,12,Butterfree Gigantamax,Butterfree,Gigantamax,8,,Bug,Flying,,,,,,,,https://archives.bulbagarden.net/media/upload/4/47/012GiMS8.png,Gigantamax Allowed,,,,Butterfree Gigantamax
19,12,Butterfree,Butterfree,,1,Common,Bug,Flying,395.0,60.0,45.0,50.0,90.0,80.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,Permitted,16,0,152,Butterfree
20,13,Weedle,Weedle,,1,Common,Bug,Poison,195.0,40.0,35.0,30.0,20.0,20.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,,,,,Weedle
21,14,Kakuna,Kakuna,,1,Common,Bug,Poison,205.0,45.0,25.0,50.0,25.0,25.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,,,,,Kakuna
22,15,Beedrill,Beedrill,,1,Common,Bug,Poison,395.0,65.0,90.0,40.0,45.0,80.0,75.0,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,,,,,Beedrill
23,15,Mega Beedrill,Beedrill,Mega,6,Common,Bug,Poison,495.0,65.0,150.0,40.0,15.0,80.0,145.0,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,Banned,,,,Mega Beedrill
24,16,Pidgey,Pidgey,,1,Common,Normal,Flying,251.0,40.0,45.0,40.0,35.0,35.0,56.0,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,,,,,Pidgey
25,17,Pidgeotto,Pidgeotto,,1,Common,Normal,Flying,349.0,63.0,60.0,55.0,50.0,50.0,71.0,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,,,,,Pidgeotto
26,18,Pidgeot,Pidgeot,,1,Common,Normal,Flying,479.0,83.0,80.0,75.0,70.0,70.0,101.0,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,,,,,Pidgeot
27,18,Mega Pidgeot,Pidgeot,Mega,6,Common,Normal,Flying,579.0,83.0,80.0,80.0,135.0,80.0,121.0,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,Banned,,,,Mega Pidgeot
28,19,Rattata,Rattata,,1,Common,Normal,,253.0,30.0,56.0,35.0,25.0,35.0,72.0,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,,,,,Rattata
29,19,Alolan Rattata,Rattata,Alolan,7,Common,Dark,Normal,253.0,30.0,56.0,35.0,25.0,35.0,72.0,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,,,,,Alolan Rattata
30,20,Raticate,Raticate,,1,Common,Normal,,413.0,55.0,81.0,60.0,50.0,70.0,97.0,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,,,,,Raticate
31,20,Alolan Raticate,Raticate,Alolan,7,Common,Dark,Normal,413.0,75.0,71.0,70.0,40.0,80.0,77.0,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,,,,,Alolan Raticate
32,21,Spearow,Spearow,,1,Common,Normal,Flying,262.0,40.0,60.0,30.0,31.0,31.0,70.0,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,,,,,Spearow
33,22,Fearow,Fearow,,1,Common,Normal,Flying,442.0,65.0,90.0,65.0,61.0,61.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,,,,,Fearow
34,23,Ekans,Ekans,,1,Common,Poison,,288.0,35.0,60.0,44.0,40.0,54.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,,,,,Ekans
35,24,Arbok,Arbok,,1,Common,Poison,,448.0,60.0,95.0,69.0,65.0,79.0,80.0,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,,,,,Arbok
36,25,Pikachu Gigantamax,Pikachu,Gigantamax,8,,Electric,,,,,,,,,https://archives.bulbagarden.net/media/upload/b/be/025GiMS8.png,Gigantamax Allowed,,,,Pikachu Gigantamax
37,25,Pikachu,Pikachu,,1,Common,Electric,,320.0,35.0,55.0,40.0,50.0,50.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,Permitted,13,0,119,Pikachu
38,25,Partner Pikachu,Pikachu,Partner,1,Common,Electric,,430.0,45.0,80.0,50.0,75.0,60.0,120.0,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,,,,,Partner Pikachu
39,26,Alolan Raichu,Raichu,Alolan,7,Common,Electric,Psychic,485.0,60.0,85.0,50.0,95.0,85.0,110.0,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,,,,,Alolan Raichu
40,26,Raichu,Raichu,,1,Common,Electric,,485.0,60.0,90.0,55.0,90.0,80.0,110.0,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,Permitted,93,3,35,Raichu
41,27,Alolan Sandshrew,Sandshrew,Alolan,7,Common,Ice,Steel,300.0,50.0,75.0,90.0,10.0,35.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,,,,,Alolan Sandshrew
42,27,Sandshrew,Sandshrew,,1,Common,Ground,,300.0,50.0,75.0,85.0,20.0,30.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,Permitted,,,,Sandshrew
43,28,Sandslash,Sandslash,,1,Common,Ground,,450.0,75.0,100.0,110.0,45.0,55.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,Permitted,,,,Sandslash
44,28,Alolan Sandslash,Sandslash,Alolan,7,Common,Ice,Steel,450.0,75.0,100.0,120.0,25.0,65.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,,,,,Alolan Sandslash
45,29,Nidoran♀,Nidoran♀,,1,Common,Poison,,275.0,55.0,47.0,52.0,40.0,40.0,41.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,,,,,Nidoran♀
46,30,Nidorina,Nidorina,,1,Common,Poison,,365.0,70.0,62.0,67.0,55.0,55.0,56.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,Permitted,,,,Nidorina
47,31,Nidoqueen,Nidoqueen,,1,Common,Poison,Ground,505.0,90.0,92.0,87.0,75.0,85.0,76.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,Permitted,,,,Nidoqueen
48,32,Nidoran♂,Nidoran♂,,1,Common,Poison,,273.0,46.0,57.0,40.0,40.0,40.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,,,,,Nidoran♂
49,33,Nidorino,Nidorino,,1,Common,Poison,,365.0,61.0,72.0,57.0,55.0,55.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,Permitted,,,,Nidorino
50,34,Nidoking,Nidoking,,1,Common,Poison,Ground,505.0,81.0,102.0,77.0,85.0,75.0,85.0,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,Permitted,,,,Nidoking
51,35,Clefairy,Clefairy,,1,Common,Fairy,,323.0,70.0,45.0,48.0,60.0,65.0,35.0,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,Permitted,25,0,73,Clefairy
52,36,Clefable,Clefable,,1,Common,Fairy,,483.0,95.0,70.0,73.0,95.0,90.0,60.0,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,Permitted,7,0,180,Clefable
53,37,Vulpix,Vulpix,,1,Common,Fire,,299.0,38.0,41.0,40.0,50.0,65.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,Permitted,,,,Vulpix
54,37,Alolan Vulpix,Vulpix,Alolan,7,Common,Ice,,299.0,38.0,41.0,40.0,50.0,65.0,65.0,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,,,,,Alolan Vulpix
55,38,Ninetales,Ninetales,,1,Common,Fire,,505.0,73.0,76.0,75.0,81.0,100.0,100.0,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,Permitted,,,,Ninetales
56,38,Alolan Ninetales,Ninetales,Alolan,7,Common,Ice,Fairy,505.0,73.0,67.0,75.0,81.0,100.0,109.0,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,,16,0,120,Alolan Ninetales
57,39,Jigglypuff,Jigglypuff,,1,Common,Normal,Fairy,270.0,115.0,45.0,20.0,45.0,25.0,20.0,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,Permitted,,,,Jigglypuff
58,40,Wigglytuff,Wigglytuff,,1,Common,Normal,Fairy,435.0,140.0,70.0,45.0,85.0,50.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,Permitted,,,,Wigglytuff
59,41,Zubat,Zubat,,1,Common,Poison,Flying,245.0,40.0,45.0,35.0,30.0,40.0,55.0,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,Permitted,,,,Zubat
60,42,Golbat,Golbat,,1,Common,Poison,Flying,455.0,75.0,80.0,70.0,65.0,75.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,Permitted,,,,Golbat
61,43,Oddish,Oddish,,1,Common,Grass,Poison,320.0,45.0,50.0,55.0,75.0,65.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,Permitted,,,,Oddish
62,44,Gloom,Gloom,,1,Common,Grass,Poison,395.0,60.0,65.0,70.0,85.0,75.0,40.0,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,Permitted,,,,Gloom
63,45,Vileplume,Vileplume,,1,Common,Grass,Poison,490.0,75.0,80.0,85.0,110.0,90.0,50.0,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,Permitted,,,,Vileplume
64,46,Paras,Paras,,1,Common,Bug,Grass,285.0,35.0,70.0,55.0,45.0,55.0,25.0,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,,,,,Paras
65,47,Parasect,Parasect,,1,Common,Bug,Grass,405.0,60.0,95.0,80.0,60.0,80.0,30.0,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,,,,,Parasect
66,48,Venonat,Venonat,,1,Common,Bug,Poison,305.0,60.0,55.0,50.0,40.0,55.0,45.0,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,,,,,Venonat
67,49,Venomoth,Venomoth,,1,Common,Bug,Poison,450.0,70.0,65.0,60.0,90.0,75.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,,,,,Venomoth
68,50,Alolan Diglett,Diglett,Alolan,7,Common,Ground,Steel,265.0,10.0,55.0,30.0,35.0,45.0,90.0,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,,,,,Alolan Diglett
69,50,Diglett,Diglett,,1,Common,Ground,,265.0,10.0,55.0,25.0,35.0,45.0,95.0,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,Permitted,,,,Diglett
70,51,Alolan Dugtrio,Dugtrio,Alolan,7,Common,Ground,Steel,425.0,35.0,100.0,60.0,50.0,70.0,110.0,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,,,,,Alolan Dugtrio
